Game#,Date,Home Team,Away Team,Home Score,Away Score,N/CT/NT,Winning Team,Losing Team,Margin
591,422,Boston College,Connecticut,9,3,,Boston College,Connecticut,6
592,422,Brigham Young,Utah,14,8,,Brigham Young,Utah,6
593,422,Utah Valley,Utah State,16,12,,Utah Valley,Utah State,4
594,422,SMU,Texas State,9,7,CT,SMU,Texas State,2
595,422,Oklahoma,Louisiana State,11,9,CT,Oklahoma,Louisiana State,2
596,422,Pittsburgh,New Hampshire,13,11,N,Pittsburgh,New Hampshire,2
597,422,Georgia Tech,Virginia Tech,8,6,CT,Georgia Tech,Virginia Tech,2
598,422,UC Santa Barbara,Arizona,11,10,CT,UC Santa Barbara,Arizona,1
599,422,Dominican U.,Santa Clara,8,7,,Dominican U.,Santa Clara,1
600,423,Boise State,Washington State,17,1,,Boise State,Washington State,16
601,423,Western Michigan,Michigan State,6,17,N,Michigan State,Western Michigan,11
602,423,Buffalo,New Hampshire,10,19,,New Hampshire,Buffalo,9
603,423,Oakland,Central Michigan,11,18,,Central Michigan,Oakland,7
604,423,Georgia Tech,Liberty,13,8,CT,Georgia Tech,Liberty,5
605,423,Vanderbilt,Louisville,10,6,,Vanderbilt,Louisville,4
606,423,Texas A&M,TCU,10,12,CT,TCU,Texas A&M,2
607,425,Rhode Island,Boston College,7,12,,Boston College,Rhode Island,5
608,428,Nebraska,Purdue,3,23,CT,Purdue,Nebraska,20
609,428,Utah,Brigham Young,4,10,CT,Brigham Young,Utah,6
610,428,Grand Canyon,UC Santa Barbara,15,9,CT,Grand Canyon,UC Santa Barbara,6
611,428,Colorado,Colorado State,11,7,CT,Colorado,Colorado State,4
612,428,Chapman,Arizona State,9,10,CT,Arizona State,Chapman,1
613,429,Oregon,Washington,17,5,CT,Oregon,Washington,12
614,429,Michigan State,Davenport,14,6,CT,Michigan State,Davenport,8
615,429,California,Sonoma State,13,5,CT,California,Sonoma State,8
616,429,Boston College,New Hampshire,7,15,CT,New Hampshire,Boston College,8
617,429,SMU,Texas,13,6,CT,SMU,Texas,7
618,429,Cal Poly,Stanford,14,8,CT,Cal Poly,Stanford,6
619,429,Oklahoma,TCU,13,9,CT,Oklahoma,TCU,4
620,429,Colorado,Brigham Young,11,13,CT,Brigham Young,Colorado,2
621,429,Missouri,Miami (OH),11,12,CT,Miami (OH),Missouri,1
622,429,Minnesota,Pittsburgh,11,12,CT,Pittsburgh,Minnesota,1
623,429,Simon Fraser,Oregon State,6,5,CT,Simon Fraser,Oregon State,1
624,429,Connecticut,Northeastern,9,10,CT,Northeastern,Connecticut,1
625,430,Michigan State,Pittsburgh,12,4,CT,Michigan State,Pittsburgh,8
626,430,Simon Fraser,Oregon,7,14,CT,Oregon,Simon Fraser,7
627,430,Indiana,Purdue,13,7,CT,Indiana,Purdue,6
628,430,SMU,Oklahoma,14,9,CT,SMU,Oklahoma,5
629,430,Cal Poly,California,10,8,CT,Cal Poly,California,2
630,430,Indiana,Miami (OH),6,7,CT,Miami (OH),Indiana,1
631,430,Grand Canyon,Arizona State,10,9,CT,Grand Canyon,Arizona State,1
632,430,Northeastern,New Hampshire,10,9,CT,Northeastern,New Hampshire,1
633,508,Grand Canyon,Northeastern,18,6,NT,Grand Canyon,Northeastern,12
634,508,Cal Poly,Virginia Tech,5,9,NT,Virginia Tech,Cal Poly,4
635,508,Georgia Tech,SMU,14,11,NT,Georgia Tech,SMU,3
636,508,California,Oregon,9,6,NT,California,Oregon,3
637,508,Brigham Young,Michigan State,10,8,NT,Brigham Young,Michigan State,2
638,508,Colorado,Florida State,12,11,NT,Colorado,Florida State,1
639,508,Arizona State,Colorado State,10,9,NT,Arizona State,Colorado State,1
640,508,Utah,Chapman,8,9,NT,Chapman,Utah,1
641,509,Brigham Young,Chapman,5,14,NT,Chapman,Brigham Young,9
642,509,Georgia Tech,Virginia Tech,10,3,NT,Georgia Tech,Virginia Tech,7
643,509,Grand Canyon,Arizona State,9,6,NT,Grand Canyon,Arizona State,3
644,509,Colorado,California,11,12,NT,California,Colorado,1
645,511,Grand Canyon,California,13,10,NT,Grand Canyon,California,3
646,511,Chapman,Georgia Tech,8,7,NT,Chapman,Georgia Tech,1
647,513,Chapman,Grand Canyon,8,12,NT,Grand Canyon,Chapman,4
